MAE: 3.153316830026193    RMSE: 4.892839055964968    r2: 0.9704428313516111    r:0.9851105680844212
MAE: 3.05593102597412    RMSE: 4.765831988199402    r2: 0.969503753198678    r:0.9846338168063689
MAE: 3.073062333907863    RMSE: 4.800334926603314    r2: 0.9698063897645702    r:0.9847874845694223
MAE: 3.0404694657271056    RMSE: 4.7473002312580705    r2: 0.9712396631015545    r:0.9855149228203267
MAE: 3.0478936687201226    RMSE: 4.688837491758327    r2: 0.9729266334886284    r:0.9863704342125368
MAE: 3.2247547206534732    RMSE: 5.31372283460901    r2: 0.9639695438456972    r:0.9818195067555427
MAE: 3.1847536547049904    RMSE: 4.709394755266151    r2: 0.9715339085062267    r:0.9856641966238942
MAE: 3.1944772658637577    RMSE: 5.044811325470569    r2: 0.965897792007316    r:0.9828009930842133
MAE: 3.099787598474638    RMSE: 4.682205253830223    r2: 0.9724906719839739    r:0.9861494166625937
MAE: 3.039713095492207    RMSE: 4.7072174560169735    r2: 0.9720126707111146    r:0.9859070294460399
MAE: 7.604397643116388    RMSE: 12.220839500999212    r2: 0.8107310214368014    r:0.9004060314307104
MAE: 6.162109916460597    RMSE: 9.28274196873299    r2: 0.9074101649400421    r:0.952580791817703
MAE: 9.874263780995157    RMSE: 15.498896190640604    r2: 0.7352929036460305    r:0.8574922178340924
MAE: 12.03091952003642    RMSE: 17.79516517196246    r2: 0.627236874559842    r:0.7919828751682968
